source,comparison,tp,fp,fn,precision,recall,f1
Dr1,exact_span_label_vs_gold,16960,6649,1092,0.7183701130924648,0.9395080877465101,0.8141907299392717
Dr1,text_label_vs_gold,16443,5624,995,0.7451398015135723,0.9429407042091983,0.8324515884065309
Dr2,exact_span_label_vs_gold,12453,6043,5599,0.6732807093425606,0.68984046089076,0.6814599978110977
Dr2,text_label_vs_gold,12318,5660,5120,0.685170764267438,0.706388347287533,0.695617799864468
Dr1_vs_Dr2,exact_span_label,11522,12087,6974,0.48803422423652,0.6229455017301038,0.5472984206151289
