analysis,n_pages,n_source_keys,mean,bootstrap_ci_low,bootstrap_ci_high,median,q1,q3,minimum,maximum,source_column,bootstrap_resampling_unit,scope_note
raw_cer_corpus_crosswalk_matched,42,40,0.1488119989034192,0.10250366332509417,0.19983829401357434,0.08087228930320259,0.05893028352280508,0.15783699059561124,0.0210325047801147,0.6334405144694534,raw_cer,source_key cluster,Primary corpus-scoped raw OCR audit: adjudicated pages whose source key crosswalks to one of the 52 extraction-included sources.
raw_cer_all_archived_ocr_pages,51,49,0.1491361956251316,0.11340433276998324,0.18943271523724547,0.1,0.0625,0.16497131768067724,0.0210325047801147,0.6334405144694534,raw_cer,page,Broader technical audit retained for provenance; includes nine adjudicated pages without an extraction-included corpus crosswalk.
cleaned_cer_corpus_paired_subset,17,16,0.011398914435475247,0.002182881853327665,0.025909624961658488,0.0,0.0,0.0142857142857142,0.0,0.1135371179039301,cleaned_cer,page,"Only corpus-matched pages with raw OCR, cleaned OCR and adjudicated transcription."
cleaned_minus_raw_cer_corpus_paired_subset,17,16,-0.2639034627835063,-0.35221600106831985,-0.18121778322492132,-0.1776504297994269,-0.4114713216957606,-0.1268939393939394,-0.6302250803858521,-0.0349344978165939,delta_cleaned_minus_raw_cer,page,Paired corpus-matched subset; negative values indicate lower CER after cleaning.
