endpoint,comparison,independent_unit,n_pairs,SYS-R4_mean,SYS-T9_mean,paired_difference,ci95_low,ci95_high,paired_t,p_value,paired_dz,paired_dz_bootstrap_ci95_low,paired_dz_bootstrap_ci95_high,paired_dz_bootstrap_resamples,paired_dz_bootstrap_seed,role
Task accuracy score (0-100),SYS-R4 minus SYS-T9,participant,34,74.48852495543672,64.12132352941177,10.367201426024955,8.705822246072774,12.028580605977137,12.695614672138515,3.002549206107504e-14,2.1772799537862313,1.7987647718224298,2.8303799075420537,10000,20260731,General_user
Task accuracy score (0-100),SYS-R4 minus SYS-T9,participant,33,80.05555555555554,71.21120293847565,8.844352617079892,6.795865400380524,10.89283983377926,8.79446871827492,4.761896035697793e-10,1.5309204998530086,1.1596051833053316,2.1168339894255013,10000,20260731,Medical_researcher
Task accuracy score (0-100),SYS-R4 minus SYS-T9,participant,33,83.12764003673094,73.88992194674012,9.237718089990818,7.857144705240977,10.618291474740658,13.62956594907588,7.126857870791898e-15,2.372602892108725,1.9771753838354738,3.0677750384686893,10000,20260731,TCM_professional
NASA-TLX weighted score,SYS-R4 minus SYS-T9,participant,34,35.262745098039225,43.6235294117647,-8.360784313725489,-10.611199799448872,-6.110368828002106,-7.55866802946442,1.0748370682646934e-08,-1.296300872615063,-1.716359430430476,-1.0076495070217608,10000,20260731,General_user
NASA-TLX weighted score,SYS-R4 minus SYS-T9,participant,33,30.890909090909094,43.66868686868687,-12.777777777777779,-14.839995853062042,-10.715559702493515,-12.621110212745743,5.733606186449308e-14,-2.1970532813932975,-3.1918864690458357,-1.662031962560862,10000,20260731,Medical_researcher
NASA-TLX weighted score,SYS-R4 minus SYS-T9,participant,33,31.01010101010101,40.577777777777776,-9.567676767676767,-11.435558741848233,-7.6997947935053,-10.433592752119123,7.944277231456056e-12,-1.8162553694852555,-2.7190249094393923,-1.2851122738656582,10000,20260731,TCM_professional
