endpoint,comparison,independent_unit,n_pairs,SYS-R4_mean,SYS-T9_mean,paired_difference,ci95_low,ci95_high,paired_t,p_value,paired_dz,paired_dz_bootstrap_ci95_low,paired_dz_bootstrap_ci95_high,paired_dz_bootstrap_resamples,paired_dz_bootstrap_seed,role_by_system_difference_anova_F,role_by_system_difference_anova_p,holm_adjusted_p_two_primary_endpoints
Task accuracy score (0-100),SYS-R4 minus SYS-T9,participant,100,79.17655303030303,69.68462121212121,9.491931818181818,8.526577320872537,10.4572863154911,19.509985263895018,1.0734116528378504e-35,1.950998526389502,1.6771542275150415,2.3014995907645575,10000,20260731,0.8855487136800289,0.41579567979578064,2.1468233056757007e-35
NASA-TLX weighted score,SYS-R4 minus SYS-T9,participant,100,32.416666666666664,42.63333333333334,-10.216666666666667,-11.428157079299613,-9.00517625403372,-16.733176736124836,1.2841193239894285e-30,-1.6733176736124835,-2.019921652939392,-1.4186722724628344,10000,20260731,5.040746140596217,0.008265706710201309,1.2841193239894285e-30
