endpoint,comparison,independent_unit,n_pairs,SYS-R4_mean,SYS-T9_mean,paired_difference,ci95_low,ci95_high,paired_t,p_value,paired_dz,paired_dz_bootstrap_ci95_low,paired_dz_bootstrap_ci95_high,paired_dz_bootstrap_resamples,paired_dz_bootstrap_seed,role_by_system_difference_anova_F,role_by_system_difference_anova_p,bloom_level
Task accuracy at L1,SYS-R4 minus SYS-T9,participant,100,91.9475,87.3325,4.615,2.9447138100223844,6.285286189977616,5.482390554695321,3.210607114750894e-07,0.5482390554695322,0.3456760318082032,0.7819034131122278,10000,20260731,3.2321911785038124,0.04375945859015122,L1
Task accuracy at L2,SYS-R4 minus SYS-T9,participant,100,91.0675,81.0625,10.005,7.993537058591874,12.016462941408127,9.869478672435614,2.1074496254698534e-16,0.9869478672435614,0.7786696730684937,1.2491285014870637,10000,20260731,1.4054086180201306,0.25021592801780546,L2
Task accuracy at L3,SYS-R4 minus SYS-T9,participant,100,86.85,76.05,10.8,8.553709067776342,13.046290932223659,9.539967761842705,1.1033264347178197e-15,0.9539967761842707,0.7499040996676894,1.1988446817266243,10000,20260731,0.7491612021994836,0.47547826969001455,L3
Task accuracy at L4,SYS-R4 minus SYS-T9,participant,100,73.25,63.8375,9.4125,6.463378319826066,12.361621680173933,6.332882831645539,7.1033974434102e-09,0.6332882831645539,0.4237533237368778,0.8893480444777133,10000,20260731,1.7774446618107702,0.17453168587458265,L4
Task accuracy at L5,SYS-R4 minus SYS-T9,participant,100,68.5725,58.1725,10.4,7.459735874419023,13.340264125580978,7.018368219699046,2.835689195342526e-10,0.7018368219699046,0.511109620653615,0.9235898414069735,10000,20260731,2.023828963963354,0.1376911074651812,L5
Task accuracy at L6,SYS-R4 minus SYS-T9,participant,100,63.13,51.515,11.615,8.710839104710313,14.519160895289687,7.935744858370647,3.294362729441589e-12,0.7935744858370648,0.5870284240756066,1.054401199945953,10000,20260731,0.1603303624822317,0.852087603378717,L6
