endpoint,comparison,set_A_mean,set_B_mean,difference,prespecified_absolute_margin,within_descriptive_margin,inference_boundary
Pilot mean task accuracy,Set B minus Set A,0.7763333333333334,0.7963333333333334,0.020000000000000018,0.08,Y,"Descriptive margin check only; participant-level raw pilot observations are not archived, so an inferential equivalence test is not estimable."
Pilot mean task time (seconds),Set B minus Set A,148.16666666666666,155.16666666666666,7.0,20.0,Y,"Descriptive margin check only; participant-level raw pilot observations are not archived, so an inferential equivalence test is not estimable."
