model,output_level,n_pages,raw_stability_precision,raw_stability_recall,raw_stability_f1,cleaned_stability_precision,cleaned_stability_recall,cleaned_stability_f1,cleaned_minus_raw_stability_f1,bootstrap_ci_low,bootstrap_ci_high,reference_definition,interpretation
SikuRoBERTa-CRF_archived,entity,17,0.8412162162162162,0.8498293515358362,0.8455008488964346,0.9698996655518395,0.9897610921501706,0.9797297297297298,0.1342288808332952,0.08975939314922343,0.18251701399908316,same frozen model output on adjudicated manual transcription,prediction stability only; not human-annotated accuracy
SikuRoBERTa-CRF_archived,relation,17,0.6881243063263041,0.6262626262626263,0.6557377049180327,0.9506048387096774,0.9525252525252526,0.9515640766902119,0.2958263717721792,0.18789073600454675,0.455816231493079,same frozen model output on adjudicated manual transcription,prediction stability only; not human-annotated accuracy
SikuRoBERTa-CRF_archived,rule,17,0.29411764705882354,0.038910505836575876,0.06872852233676975,0.9113475177304965,1.0,0.953617810760668,0.8848892884238982,0.0,1.0,same frozen model output on adjudicated manual transcription,prediction stability only; not human-annotated accuracy
Chinese-RoBERTa-CRF_archived,entity,17,0.8191489361702128,0.7965517241379311,0.8076923076923077,0.9930313588850174,0.9827586206896551,0.9878682842287695,0.18017597653646178,0.12201639050458635,0.2499683720755883,same frozen model output on adjudicated manual transcription,prediction stability only; not human-annotated accuracy
Chinese-RoBERTa-CRF_archived,relation,17,0.5591939546599496,0.5729032258064516,0.5659655831739961,0.9863387978142076,0.9316129032258065,0.958195089581951,0.39222950640795484,0.2234321400772853,0.6182572614107884,same frozen model output on adjudicated manual transcription,prediction stability only; not human-annotated accuracy
Chinese-RoBERTa-CRF_archived,rule,17,0.19607843137254902,0.3048780487804878,0.2386634844868735,0.9390243902439024,0.9390243902439024,0.9390243902439024,0.7003609057570289,0.0,1.0,same frozen model output on adjudicated manual transcription,prediction stability only; not human-annotated accuracy
